Concursos	NOUN.Masc.Plur	concurso
publicos	ADJ.Masc.Plur	<unknown>
com	ADP	com
inscricoes	NOUN.Fem.Plur	<unknown>
abertas	ADJ.Fem.Plur	aberto
FUNDACAO	PROPN.Masc.Sing	<unknown>
DE	PROPN.Sing	DE
SAUDE	PROPN.Sing	<unknown>
PUBLICA	PROPN.Sing	<unknown>
DE	PROPN.Sing	DE
NOVO	PROPN.Sing	Novo
HAMBURGO	PROPN.Sing	<unknown>
Cargos	PROPN.Sing	<unknown>
e	CCONJ	e
vagas	NOUN.Fem.Plur	vaga
:	PUNCT.Colon	:
tecnico	NOUN.Masc.Sing	<unknown>
de	ADP	de
enfermagem	NOUN.Fem.Sing	enfermagem
(	PUNCT.Par.Left	(
12	NUM	12
)	PUNCT.Par.Right	)
,	PUNCT.Comma	,
assistente	NOUN.Masc.Sing	assistente
de	ADP	de
laboratorio	NOUN.Masc.Sing	<unknown>
(	PUNCT.Par.Left	(
1	NUM	1
)	PUNCT.Par.Right	)
,	PUNCT.Comma	,
atendente	NOUN.Masc.Sing	atendente
de	ADP	de
farmacia	NOUN.Fem.Sing	<unknown>
(	PUNCT.Par.Left	(
1	NUM	1
)	PUNCT.Par.Right	)
e	CCONJ	e
auxiliar	VERB.Inf	auxiliar
de	ADP	de
imobilizacao	NOUN.Fem.Sing	<unknown>
ortopedica	ADJ.Fem.Sing	<unknown>
(	PUNCT.Par.Left	(
1	NUM	1
)	PUNCT.Par.Right	)
Niveis	ADJ.Fem.Plur	<unknown>
:	PUNCT.Colon	:
medio	ADJ.Masc.Sing	<unknown>
e	CCONJ	e
tecnico	ADJ.Masc.Sing	<unknown>
Salarios	NOUN.Masc.Plur	<unknown>
:	PUNCT.Colon	:
de	ADP	de
R$	SYM	R$
901,32	NUM	@card@
a	ADP	a
R$	SYM	R$
1.130,52	NUM	@card@
Prazo	NOUN.Masc.Sing	prazo
:	PUNCT.Colon	:
7	NUM	7
de	ADP	de
outubro	NOUN.Masc.Sing	outubro
Taxa	PROPN.Fem.Sing	Taxa
:	PUNCT.Colon	:
nao	NOUN.Masc.Sing	<unknown>
informado	VERB.Part.Masc.Sing	informar
Inscricoes	VERB.Fin.Sing	<unknown>
:	PUNCT.Colon	:
pessoalmente	ADV	pessoalmente
na	ADP_DET.Fem.Sing	em_o
Avenida	PROPN.Fem.Sing	Avenida
Pedro	PROPN.Sing	Pedro
Adams	PROPN.Sing	Adams
Filho	PROPN.Sing	Filho
,	PUNCT.Comma	,
6520	NUM	@card@
,	PUNCT.Comma	,
Bairro	PROPN.Masc.Sing	Bairro
Operario	PROPN.Sing	<unknown>
,	PUNCT.Comma	,
em	ADP	em
Novo	PROPN.Masc.Sing	Novo
Hamburgo	PROPN.Masc.Sing	Hamburgo
,	PUNCT.Comma	,
de	ADP	de
segunda	ADJ.Fem.Sing	segundo
a	DET.Fem.Sing	o
sexta-feira	NOUN.Fem.Sing	sexta-feira
,	PUNCT.Comma	,
das	ADP_DET.Fem.Plur	de_o
8h	NOUN.Fem.Plur	8h
as	PRON.Fem.Plur	elas
12h	PROPN.Sing	<unknown>
e	CCONJ	e
das	ADP_DET.Fem.Plur	de_o
13h	NOUN.Fem.Plur	13h
as	DET.Fem.Plur	o
18h	NOUN.Fem.Plur	18h
DEPARTAMENTO	PROPN.Masc.Sing	Departamento
AUTONOMO	PROPN.Sing	<unknown>
DE	PROPN.Sing	DE
ESTRADAS	PROPN.Sing	Estradas
DE	PROPN.Sing	DE
RODAGEM	PROPN.Sing	Rodagem
DO	ADP_DET.Masc.Sing	de_o
RS	PROPN.Masc.Sing	RS
(	PUNCT.Par.Left	(
DAER	PROPN.Masc.Sing	<unknown>
)	PUNCT.Par.Right	)
Vagas	NOUN.Masc.Plur	<unknown>
e	CCONJ	e
cargos	NOUN.Masc.Plur	cargo
:	PUNCT.Colon	:
sao	VERB.Fin.Sing	<unknown>
cem	NUM	cem
para	ADP	para
especialista	NOUN.Masc.Sing	especialista
rodoviario	ADJ.Masc.Sing	<unknown>
–	PUNCT.Hyphen	-
engenheiro	NOUN.Masc.Sing	engenheiro
civil	ADJ.Masc.Sing	civil
e	CCONJ	e
engenheiro	NOUN.Masc.Sing	engenheiro
quimico	ADJ.Masc.Sing	<unknown>
,	PUNCT.Comma	,
tecnico	ADJ.Masc.Sing	<unknown>
rodoviario	NOUN.Masc.Sing	<unknown>
–	PUNCT.Hyphen	-
estradas	NOUN.Fem.Plur	estrada
,	PUNCT.Comma	,
transportes	NOUN.Masc.Plur	transporte
rodoviarios	ADJ.Masc.Plur	<unknown>
,	PUNCT.Comma	,
transporte	NOUN.Masc.Sing	transporte
de	ADP	de
cargas	NOUN.Fem.Plur	carga
,	PUNCT.Comma	,
agrimensura	NOUN.Fem.Sing	agrimensura
,	PUNCT.Comma	,
hidrologia	NOUN.Fem.Sing	hidrologia
,	PUNCT.Comma	,
secretariado	NOUN.Masc.Sing	secretariado
e	CCONJ	e
florestas	NOUN.Fem.Plur	floresta
Niveis	ADJ.Fem.Plur	<unknown>
:	PUNCT.Colon	:
medio/tecnico	ADJ.Masc.Sing	<unknown>
e	CCONJ	e
superior	ADJ.Masc.Sing	alto
Salarios	NOUN.Masc.Plur	<unknown>
:	PUNCT.Colon	:
de	ADP	de
de	ADP	de
R$	SYM	R$
1.387,97	NUM	@card@
a	ADP	a
R$	SYM	R$
5.269,68	NUM	@card@
Prazo	NOUN.Masc.Sing	prazo
:	PUNCT.Colon	:
30	NUM	30
de	ADP	de
setembro	NOUN.Masc.Sing	setembro
Taxa	PROPN.Fem.Sing	Taxa
:	PUNCT.Colon	:
R$	SYM	R$
60,17	NUM	@card@
e	CCONJ	e
R$	SYM	R$
137,19	NUM	@card@
Inscricoes	NOUN.Masc.Plur	<unknown>
:	PUNCT.Colon	:
www	NOUN.Masc.Sing	<unknown>
.	PUNCT.Sent	.
fundatec	NOUN.Fem.Sing	<unknown>
.	PUNCT.Sent	.
org	NOUN.Masc.Sing	<unknown>
.	PUNCT.Sent	.
br	NOUN.Masc.Sing	<unknown>
FUNDACAO	PROPN.Masc.Sing	<unknown>
NACIONAL	PROPN.Sing	NACIONAL
DE	PROPN.Sing	DE
SAUDE	PROPN.Sing	<unknown>
(	PUNCT.Par.Left	(
FUNASA	PROPN.Fem.Sing	<unknown>
)	PUNCT.Par.Right	)
Cargos	NOUN.Masc.Plur	cargo
e	CCONJ	e
vagas	NOUN.Fem.Plur	vaga
:	PUNCT.Colon	:
em	ADP	em
todo	DET.Masc.Sing	todo
o	DET.Masc.Sing	o
pais	NOUN.Masc.Plur	pai
,	PUNCT.Comma	,
engenharia	NOUN.Fem.Sing	engenharia
de	ADP	de
saude	VERB.Fin.Sing	saudar
publica	VERB.Fin.Sing	publicar
(	PUNCT.Par.Left	(
286	NUM	@card@
)	PUNCT.Par.Right	)
e	CCONJ	e
celebracao	VERB.Fin.Sing	<unknown>
e	CCONJ	e
prestacao	VERB.Fin.Sing	<unknown>
de	ADP	de
contas	NOUN.Fem.Plur	conta
e	CCONJ	e
convenios	NOUN.Masc.Plur	<unknown>
(	PUNCT.Par.Left	(
50	NUM	50
)	PUNCT.Par.Right	)
Nivel	ADJ.Fem.Sing	<unknown>
:	PUNCT.Colon	:
superior	ADJ.Masc.Sing	alto
Salarios	NOUN.Masc.Plur	<unknown>
:	PUNCT.Colon	:
de	ADP	de
R$	SYM	R$
6.130	NUM	@card@
a	ADP	a
R$	SYM	R$
8.300	NUM	@card@
Prazo	NOUN.Masc.Sing	prazo
:	PUNCT.Colon	:
7	NUM	7
de	ADP	de
outubro	NOUN.Masc.Sing	outubro
Taxa	PROPN.Fem.Sing	Taxa
:	PUNCT.Colon	:
R$	SYM	R$
70	NUM	70
Inscricoes	NOUN.Masc.Plur	<unknown>
:	PUNCT.Colon	:
www	NOUN.Masc.Sing	<unknown>
.	PUNCT.Sent	.
cespe	VERB.Fin.Sing	<unknown>
.	PUNCT.Sent	.
unb	PROPN.Masc.Sing	<unknown>
.	PUNCT.Sent	.
br/concursos/funasa_13	VERB.Fin.Sing	<unknown>
MARINHA	PROPN.Masc.Sing	<unknown>
Cargos	PROPN.Sing	<unknown>
e	CCONJ	e
vagas	NOUN.Fem.Plur	vaga
:	PUNCT.Colon	:
medicos	ADJ.Masc.Plur	<unknown>
para	ADP	para
Rio	PROPN.Masc.Sing	Rio
Grande	PROPN.Sing	Grande
,	PUNCT.Comma	,
sendo	AUX.Ger	ser
cardiologia	NOUN.Fem.Sing	cardiologia
(	PUNCT.Par.Left	(
1	NUM	1
)	PUNCT.Par.Right	)
,	PUNCT.Comma	,
clinica	VERB.Fin.Sing	clinicar
medica	VERB.Fin.Sing	medicar
(	PUNCT.Par.Left	(
1	NUM	1
)	PUNCT.Par.Right	)
,	PUNCT.Comma	,
pediatria	NOUN.Fem.Sing	pediatria
(	PUNCT.Par.Left	(
1	NUM	1
)	PUNCT.Par.Right	)
e	CCONJ	e
ginecologia	NOUN.Fem.Sing	ginecologia
e	CCONJ	e
obstetricia	NOUN.Fem.Sing	<unknown>
(	PUNCT.Par.Left	(
1	NUM	1
)	PUNCT.Par.Right	)
Nivel	ADJ.Fem.Sing	<unknown>
:	PUNCT.Colon	:
superior	ADJ.Masc.Sing	alto
Salarios	NOUN.Masc.Plur	<unknown>
:	PUNCT.Colon	:
nao	NOUN.Masc.Sing	<unknown>
informado	VERB.Part.Masc.Sing	informar
Prazo	NOUN.Masc.Sing	prazo
:	PUNCT.Colon	:
28	NUM	28
de	ADP	de
outubro	NOUN.Masc.Sing	outubro
Taxa	PROPN.Fem.Sing	Taxa
:	PUNCT.Colon	:
R$	SYM	R$
45	NUM	45
Inscricoes	NOUN.Masc.Plur	<unknown>
:	PUNCT.Colon	:
www	NOUN.Masc.Sing	<unknown>
.	PUNCT.Sent	.
ensino	NOUN.Masc.Sing	ensino
.	PUNCT.Sent	.
mar	NOUN.Masc.Sing	mar
.	PUNCT.Sent	.
mil	NUM	mil
.	PUNCT.Sent	.
br	NOUN.Masc.Sing	<unknown>
ou	CCONJ	ou
www	NOUN.Masc.Sing	<unknown>
.	PUNCT.Sent	.
ingressonamarinha	NOUN.Fem.Sing	<unknown>
.	PUNCT.Sent	.
mar	NOUN.Masc.Sing	mar
.	PUNCT.Sent	.
mil	NUM	mil
.	PUNCT.Sent	.
br	NOUN.Masc.Sing	<unknown>
CONSELHO	PROPN.Masc.Sing	Conselho
REGIONAL	PROPN.Sing	Regional
DOS	ADP_DET.Masc.Plur	de_o
REPRESENTANTES	PROPN.Sing	<unknown>
COMERCIAIS	PROPN.Sing	<unknown>
NO	ADP_DET.Masc.Sing	em_o
Rio	PROPN.Masc.Sing	Rio
Grande	PROPN.Sing	Grande
do	ADP_DET.Masc.Sing	de_o
Sul	PROPN.Sing	Sul
Cargos	PROPN.Sing	<unknown>
e	CCONJ	e
vagas	NOUN.Fem.Plur	vaga
:	PUNCT.Colon	:
formacao	VERB.Fin.Sing	<unknown>
de	ADP	de
cadastro	NOUN.Masc.Sing	cadastro
de	ADP	de
reserva	NOUN.Fem.Sing	reserva
para	ADP	para
auxiliar	NOUN.Masc.Sing	auxiliar
administrativo	ADJ.Masc.Sing	administrativo
,	PUNCT.Comma	,
tecnico	ADJ.Masc.Sing	<unknown>
em	ADP	em
informatica	NOUN.Fem.Sing	<unknown>
e	CCONJ	e
telefonista	NOUN.Fem.Sing	telefonista
